,Maps,Hopital,Avis,Type,Adressse,Open,Tel,Site Web,Région,Latitude,Longitude
185,https://www.google.com/maps/place/Dimedtec/data=!4m7!3m6!1s0x1302133f07052ccd:0x608320e98ab96169!8m2!3d35.771745!4d10.8264297!16s%2Fg%2F11hxzlfx_s!19sChIJzSwFBz8TAhMRaWG5iukgg2A?authuser=0&hl=fr&rclk=1,Dimedtec,,Hôpital,"Immeuble abbes, 2 Av. des martyrs",,,,Monastir,35.771745,10.8264297
186,https://www.google.com/maps/place/Clinique+Carthage/data=!4m7!3m6!1s0x13020d5e07f62e43:0xe61b18a001cd4240!8m2!3d35.7608525!4d10.7290612!16s%2Fg%2F11f7khv_jz!19sChIJQy72B14NAhMRQELNAaAYG-Y?authuser=0&hl=fr&rclk=1,Clinique Carthage,"2,6",Hôpital privé,,,73 524 000,,Monastir,35.7608525,10.7290612
187,https://www.google.com/maps/place/%D9%85%D8%B5%D8%AD%D8%A9+%D8%A7%D9%84%D8%B3%D9%88%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x13026d4bc3ed77ff:0x287716b4601878e5!8m2!3d35.7788284!4d10.8186471!16s%2Fg%2F11c1q8xk0n!19sChIJ_3ftw0ttAhMR5XgYYLQWdyg?authuser=0&hl=fr&rclk=1,مصحة السواني,"5,0",Hôpital,,Ouvert 24h/23,73 501 002,,Monastir,35.7788284,10.8186471
188,https://www.google.com/maps/place/Cabinet+m%C3%A9dical+de+libre+pratique/data=!4m7!3m6!1s0x130213c5a2c01b11:0x341684e6346e14f6!8m2!3d35.7736045!4d10.8062991!16s%2Fg%2F11hzbvp36k!19sChIJERvAosUTAhMR9hRuNOaEFjQ?authuser=0&hl=fr&rclk=1,Cabinet médical de libre pratique,,Centre de santé communautaire,Avenue Ali bourguiba Skanes Monastir Monastir,Fermé,98 405 670,,Monastir,35.7736045,10.8062991
189,https://www.google.com/maps/place/Unit%C3%A9+de+soin+de+base+bassatine+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B5%D8%AD%D8%A9+%D8%A7%D9%84%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A9+%D8%A7%D9%84%D8%A8%D8%B3%D8%A7%D8%AA%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x130213465c13bbb3:0x300eb6258c87e3b5!8m2!3d35.7607537!4d10.8218571!16s%2Fg%2F11j99k0gxk!19sChIJs7sTXEYTAhMRteOHjCW2DjA?authuser=0&hl=fr&rclk=1,Unité de soin de base bassatine مركز الصحة الاساسية البساتين,,Hôpital,"QR6C+8P5, Unnamed Road",,,,Monastir,35.7607537,10.8218571
190,https://www.google.com/maps/place/Clinique+Carthage/data=!4m7!3m6!1s0x13020b7daaaaaaab:0x9eec106264521308!8m2!3d35.749353!4d10.7069861!16s%2Fg%2F11hbvc834g!19sChIJq6qqqn0LAhMRCBNSZGIQ7J4?authuser=0&hl=fr&rclk=1,Clinique Carthage,"3,7",Hôpital,PPX4+PQX,,,,Monastir,35.749353,10.7069861
191,https://www.google.com/maps/place/Clinique+Ibn+Roched/data=!4m7!3m6!1s0x1302988d7b426d5f:0x35f5b310057f65ce!8m2!3d36.4492692!4d10.7443625!16s%2Fg%2F11c58rwzcp!19sChIJX21Ce42YAhMRzmV_BRCz9TU?authuser=0&hl=fr&rclk=1,Clinique Ibn Roched,"3,2",Clinique accessible sans rendez-vous,2 Ave. Mongi Slim,Ouvert 24h/24,72 220 000,,Nabeul,36.4492692,10.7443625
192,https://www.google.com/maps/place/H%C3%B4pital+r%C3%A9gional+de+Nabeul/data=!4m7!3m6!1s0x130298bdfdf570f1:0x341c88a463594d3!8m2!3d36.4535402!4d10.7319279!16s%2Fg%2F11bz_w_br5!19sChIJ8XD1_b2YAhMR05Q1RorIQQM?authuser=0&hl=fr&rclk=1,Hôpital régional de Nabeul,"3,8",Hôpital,Hôpital Régional Ahmed Tlili de Nabeul,,50 724 345,,Nabeul,36.4535402,10.7319279
193,https://www.google.com/maps/place/Centre+Numerique+D%27imagerie+Medicale+De+Nabeul/data=!4m7!3m6!1s0x130298960989e5bf:0x30d92e217065584e!8m2!3d36.4534537!4d10.7334038!16s%2Fg%2F11dymqvjks!19sChIJv-WJCZaYAhMRTlhlcCEu2TA?authuser=0&hl=fr&rclk=1,Centre Numerique D'imagerie Medicale De Nabeul,,Hôpital,9 Av. Habib Thameur,Fermé,72 220 664,,Nabeul,36.4534537,10.7334038
194,https://www.google.com/maps/place/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89+%D8%B3%D9%8A%D9%88%D9%86+%D9%81%D9%8A%D9%84+%D9%86%D8%A7%D8%A8%D9%84%E2%80%AD/data=!4m7!3m6!1s0x13029fee9fb2728f:0x394b05455aaf09a2!8m2!3d36.4378621!4d10.6741235!16s%2Fg%2F11h_fqn56r!19sChIJj3Kyn-6fAhMRogmvWkUFSzk?authuser=0&hl=fr&rclk=1,مستشفى سيون فيل نابل,,Hôpital,CMQF+4JX,,,,Nabeul,36.4378621,10.6741235
